matchId,match,currentStatus,currentScore,homeAliasesFound,awayAliasesFound,candidateScore,candidateStatus,evidence
1,מקסיקו - דרום אפריקה,verified,2-0,Mexico | MEX,South Africa | RSA,2-0,unknown,ILS Friendlies 1 PORTUGAL 2 NIGERIA 1 MATCH DETAILS Friendlies 1 ENGLAND 3 COSTA RICA 0 MATCH DETAILS Friendlies 1 BOLIVIA 0 ALGERIA 4 MATCH DETAILS Friendlies 1 AUSTRIA C GUATEMALA C MATCH DETAILS First Stage · Group A MEXICO 2 SOUTH AFRICA 0 MATCH DETAILS Regular Season TAMMEKA TARTU 0 PÄRNU JK VAPRUS 0 MATCH DETAILS Regular Season ML VITEBSK 1 FC VITEBSK 2 MATCH DETAILS Regular Season VPS 1 KUPS 1 MATCH DETAILS Regular Season JARO 2 HJK 5 MATCH DETAILS Reg
2,דרום קוריאה - צ'כיה,verified,2-1,Korea Republic | KOR,Czechia | CZE,2-1,verified,5023/289273/400021441 Skip to main content FIFA REWARDS FIFA+ FIFA STORE FIFA COLLECT | English | FIFA WORLD CUP 2026™ MATCHES STANDINGS TEAMS & STATS LATEST FANTASY & GAMING MORE Korea Republic vs. Czechia Group A • Match 2 10 : 00 • 12 JUN 2026 KOREA REPUBLIC 2 - 1 CZECHIA Full Time OH Hyeongyu 80' HWANG Inbeom 67' Ladislav KREJCI 59' FIFA World Cup 2026™ Guadalajara ●Guadalajara Stadium Where to watch HIGHLIGHTS LIVE BLOG LINE UP STATS POWER RANKIN
3,צ'כיה - דרום אפריקה,pending,None-None,Czechia | CZE,South Africa | RSA,,not_found,
4,מקסיקו - דרום קוריאה,pending,None-None,Mexico | MEX,Korea Republic | KOR,,not_found,
5,דרום אפריקה - דרום קוריאה,pending,None-None,South Africa | RSA,Korea Republic | KOR,,not_found,
6,צ'כיה - מקסיקו,pending,None-None,Czechia | CZE,Mexico | MEX,,not_found,
7,קנדה - בוסניה,verified,1-1,Canada | CAN,Bosnia and Herzegovina | Bosnia | BIH,,not_found,
8,קטאר - שווייץ,verified,1-1,Qatar | QAT,Switzerland | SUI,1-1,unknown,REST 1 NEMAN GRODNO 3 MATCH DETAILS Regular Season EVERTON 1 PALESTINO 2 MATCH DETAILS Regular Season INDEPENDIENTE P REAL POTOSÍ P MATCH DETAILS Regular Season GUABIRÁ P REAL ORURO P MATCH DETAILS First Stage · Group B QATAR 1 SWITZERLAND 1 MATCH DETAILS Regular Season COLO COLO 3 COBRESAL 0 MATCH DETAILS Regular Season GUALBERTO VILLARROEL SJ P THE STRONGEST P MATCH DETAILS Regular Season GUALBERTO VILLARROEL SJ P UNIVERSITARIO DE VINTO P MATCH DETAILS Fi
9,שווייץ - בוסניה,pending,None-None,Switzerland | SUI,Bosnia and Herzegovina | Bosnia | BIH,,not_found,
10,קנדה - קטאר,pending,None-None,Canada | CAN,Qatar | QAT,,not_found,
11,שווייץ - קנדה,pending,None-None,Switzerland | SUI,Canada | CAN,,not_found,
12,בוסניה - קטאר,pending,None-None,Bosnia and Herzegovina | Bosnia | BIH,Qatar | QAT,,not_found,
13,ברזיל - מרוקו,verified,1-1,Brazil | BRA,Morocco | MAR,1-1,unknown,ar Season COLO COLO 3 COBRESAL 0 MATCH DETAILS Regular Season GUALBERTO VILLARROEL SJ P THE STRONGEST P MATCH DETAILS Regular Season GUALBERTO VILLARROEL SJ P UNIVERSITARIO DE VINTO P MATCH DETAILS First Stage · Group C BRAZIL 1 MOROCCO 1 MATCH DETAILS Regular Season ÑUBLENSE 2 HUACHIPATO 2 MATCH DETAILS Regular Season INDEPENDIENTE P ORIENTE PETROLERO P MATCH DETAILS First Stage · Group C HAITI 0 SCOTLAND 1 MATCH DETAILS First Stage · Group D AUSTRALIA
14,האיטי - סקוטלנד,verified,0-1,Haiti | HAI,Scotland | SCO,0-1,unknown,DE VINTO P MATCH DETAILS First Stage · Group C BRAZIL 1 MOROCCO 1 MATCH DETAILS Regular Season ÑUBLENSE 2 HUACHIPATO 2 MATCH DETAILS Regular Season INDEPENDIENTE P ORIENTE PETROLERO P MATCH DETAILS First Stage · Group C HAITI 0 SCOTLAND 1 MATCH DETAILS First Stage · Group D AUSTRALIA 2 TÜRKIYE 0 MATCH DETAILS Regular Season HEGELMANN LITAUEN 1 KAUNO ŽALGIRIS 1 MATCH DETAILS Regular Season NÕMME KALJU 1 PAIDE LINNAMEESKOND 1 MATCH DETAILS Regular Season D
15,סקוטלנד - מרוקו,pending,None-None,Scotland | SCO,Morocco | MAR,,not_found,
16,ברזיל - האיטי,pending,None-None,Brazil | BRA,Haiti | HAI,,not_found,
17,סקוטלנד - ברזיל,pending,None-None,Scotland | SCO,Brazil | BRA,,not_found,
18,מרוקו - האיטי,pending,None-None,Morocco | MAR,Haiti | HAI,,not_found,
19,"ארה""ב - פרגוואי",verified,4-1,USA,Paraguay | PAR,,not_found,
20,אוסטרליה - טורקיה,verified,2-0,Australia | AUS | Socceroos,Türkiye | TUR,2-0,verified,5023/289273/400021463 Skip to main content FIFA REWARDS FIFA+ FIFA STORE FIFA COLLECT | English | FIFA WORLD CUP 2026™ MATCHES STANDINGS TEAMS & STATS LATEST FANTASY & GAMING MORE Australia vs. Türkiye Group D • Match 6 12 : 00 • 14 JUN 2026 AUSTRALIA 2 - 0 TÜRKIYE Full Time Connor METCALFE 75' Nestory IRANKUNDA 27' FIFA World Cup 2026™ Vancouver ●BC Place Vancouver Where to watch HIGHLIGHTS LIVE BLOG LINE UP STATS POWER RANKINGS TABLE RELAT
21,"ארה""ב - אוסטרליה",pending,None-None,USA,Australia | AUS | Socceroos,,not_found,
22,טורקיה - פרגוואי,pending,None-None,Türkiye | TUR,Paraguay | PAR,,not_found,
23,פרגוואי - אוסטרליה,pending,None-None,Paraguay | PAR,Australia | AUS | Socceroos,,not_found,
24,"טורקיה - ארה""ב",pending,None-None,Türkiye | TUR,USA,,not_found,
25,גרמניה - קורסאו,pending,None-None,Germany | GER,Curaçao | CUW,4-1,live,30 Jun WED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P
26,חוף השנהב - אקוואדור,pending,None-None,Côte d'Ivoire | CIV,Ecuador | ECU,4-1,live,ED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1
27,גרמניה - חוף השנהב,pending,None-None,Germany | GER,Côte d'Ivoire | CIV,4-1,live,30 Jun WED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Nether
28,אקוואדור - קורסאו,pending,None-None,Ecuador | ECU,Curaçao | CUW,,not_found,
29,אקוואדור - גרמניה,pending,None-None,Ecuador | ECU,Germany | GER,4-1,verified,ED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day 15 FT Deportes Concepción 3 - 2 Deportes Limache Unión La Ca
30,קורסאו - חוף השנהב,pending,None-None,Curaçao | CUW,Côte d'Ivoire | CIV,4-1,live,ED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Nether
31,הולנד - יפן,pending,None-None,Netherlands | NED,Japan | JPN,3-2,verified,Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day 15 FT Deportes Concepción 3 - 2 Deportes Limache Unión La Calera 03:00 Universidad de Chile Universidad Católi
32,שבדיה - טוניסיה,pending,None-None,Sweden | SWE,Tunisia | TUN,4-1,verified,ED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day 15 FT Deportes
33,הולנד - שבדיה,pending,None-None,Netherlands | NED,Sweden | SWE,4-1,live,ED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day
34,טוניסיה - יפן,pending,None-None,Tunisia | TUN,Japan | JPN,3-2,verified,Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day 15 FT Deportes Concepción 3 - 2 Deportes Limache Unión La Calera 03:00 Universidad de Chile Universidad Católica 05:30 Universidad de Concepción Sh
35,טוניסיה - הולנד,pending,None-None,Tunisia | TUN,Netherlands | NED,3-2,verified,Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day 15 FT Deportes Concepción 3 - 2 Deportes Limache Unión La Calera 03:00 Universidad de Chile Universidad Católica 05:30 Universidad de Concepción Sh
36,יפן - שבדיה,pending,None-None,Japan | JPN,Sweden | SWE,4-1,live,ED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day
37,בלגיה - מצרים,pending,None-None,Belgium | BEL,Egypt | EGY,,not_found,
38,איראן - ניו זילנד,pending,None-None,IR Iran | Iran | IRN,New Zealand | NZL,,not_found,
39,בלגיה - איראן,pending,None-None,Belgium | BEL,IR Iran | Iran | IRN,,not_found,
40,ניו זילנד - מצרים,pending,None-None,New Zealand | NZL,Egypt | EGY,,not_found,
41,מצרים - איראן,pending,None-None,Egypt | EGY,IR Iran | Iran | IRN,,not_found,
42,ניו זילנד - בלגיה,pending,None-None,New Zealand | NZL,Belgium | BEL,,not_found,
43,ספרד - קייפ ורדה,pending,None-None,Spain | ESP,Cabo Verde | CPV,,not_found,
44,ערב הסעודית - אורוגוואי,pending,None-None,Saudi Arabia | Saudi | KSA,Uruguay | URU,,not_found,
45,ספרד - ערב הסעודית,pending,None-None,Spain | ESP,Saudi Arabia | Saudi | KSA,,not_found,
46,אורוגוואי - קייפ ורדה,pending,None-None,Uruguay | URU,Cabo Verde | CPV,,not_found,
47,אורוגוואי - ספרד,pending,None-None,Uruguay | URU,Spain | ESP,,not_found,
48,קייפ ורדה - ערב הסעודית,pending,None-None,Cabo Verde | CPV,Saudi Arabia | Saudi | KSA,,not_found,
49,צרפת - סנגל,pending,None-None,France | FRA,Senegal | SEN,,not_found,
50,עירק - נורווגיה,pending,None-None,Iraq | IRQ,Norway | NOR,,not_found,
51,צרפת - עירק,pending,None-None,France | FRA,Iraq | IRQ,,not_found,
52,נורווגיה - סנגל,pending,None-None,Norway | NOR,Senegal | SEN,,not_found,
53,נורווגיה - צרפת,pending,None-None,Norway | NOR,France | FRA,,not_found,
54,סנגל - עירק,pending,None-None,Senegal | SEN,Iraq | IRQ,,not_found,
55,ארגנטינה - אלג'יריה,pending,None-None,Argentina | ARG,Algeria | ALG,,not_found,
56,אוסטריה - ירדן,pending,None-None,Austria | AUT,Jordan | JOR,,not_found,
57,ארגנטינה - אוסטריה,pending,None-None,Argentina | ARG,Austria | AUT,,not_found,
58,ירדן - אלג'יריה,pending,None-None,Jordan | JOR,Algeria | ALG,,not_found,
59,אלג'יריה - אוסטריה,pending,None-None,Algeria | ALG,Austria | AUT,,not_found,
60,ירדן - ארגנטינה,pending,None-None,Jordan | JOR,Argentina | ARG,,not_found,
61,פורטוגל - קונגו,pending,None-None,Portugal | POR,Congo DR | Congo | COD,,not_found,
62,אוזבקיסטן - קולומביה,pending,None-None,Uzbekistan | UZB,Colombia | COL,,not_found,
63,פורטוגל - אוזבקיסטן,pending,None-None,Portugal | POR,Uzbekistan | UZB,,not_found,
64,קולומביה - קונגו,pending,None-None,Colombia | COL,Congo DR | Congo | COD,,not_found,
65,קולומביה - פורטוגל,pending,None-None,Colombia | COL,Portugal | POR,,not_found,
66,קונגו - אוזבקיסטן,pending,None-None,Congo DR | Congo | COD,Uzbekistan | UZB,,not_found,
67,אנגליה - קרואטיה,pending,None-None,England | ENG,Croatia | CRO,,not_found,
68,גאנה - פנמה,pending,None-None,Ghana | GHA,Panama | PAN,,not_found,
69,אנגליה - גאנה,pending,None-None,England | ENG,Ghana | GHA,,not_found,
70,פנמה - קרואטיה,pending,None-None,Panama | PAN,Croatia | CRO,,not_found,
71,קרואטיה - גאנה,pending,None-None,Croatia | CRO,Ghana | GHA,,not_found,
72,פנמה - אנגליה,pending,None-None,Panama | PAN,England | ENG,,not_found,
